HITId,WorkerId,batch,variable,value,English,country,answer
adjH58,adjS150,1,Input.id_1,lovely-three-movies-sent-art-2,TRUE,TRUE,3
adjH145,adjS179,1,Input.id_1,haunting-three-shows-sent-art-1,TRUE,TRUE,2
adjH27,adjS101,1,Input.id_1,hefty-three-operas-sent-art-2,TRUE,TRUE,3
adjH96,adjS69,1,Input.id_1,filler_0_15,FALSE,FALSE,3
adjH79,adjS102,1,Input.id_1,substantial-five-operas-sent-art-1,TRUE,TRUE,1
adjH154,adjS34,1,Input.id_1,filler_0_18,TRUE,TRUE,1
adjH39,adjS170,1,Input.id_1,filler_1_13,TRUE,TRUE,9
adjH53,adjS67,1,Input.id_1,surprising-five-blocks-sent-distance-2,TRUE,TRUE,6
adjH54,adjS196,1,Input.id_1,hideous-twenty-weeks-sent-temporal-2,TRUE,TRUE,5
adjH161,adjS159,1,Input.id_1,beautiful-twenty-cans-sent-objects-2,TRUE,TRUE,3
adjH127,adjS64,1,Input.id_1,meager-twenty-books-sent-art-1,TRUE,TRUE,6
adjH11,adjS99,1,Input.id_1,filler_0_2,TRUE,TRUE,1
adjH131,adjS28,1,Input.id_1,hopeful-five-bankers-sent-human-2,TRUE,TRUE,8
adjH82,adjS199,1,Input.id_1,devastating-three-athletes-sent-human-1,TRUE,TRUE,3
adjH186,adjS189,1,Input.id_1,filler_0_6,TRUE,TRUE,1
adjH143,adjS91,1,Input.id_1,filler_1_4,TRUE,TRUE,10
adjH132,adjS35,1,Input.id_1,filler_1_8,TRUE,TRUE,9
adjH64,adjS33,1,Input.id_1,pathetic-twenty-acts-sent-unitlike-0,TRUE,TRUE,9
adjH162,adjS136,1,Input.id_1,filler_0_3,TRUE,TRUE,2
adjH159,adjS20,1,Input.id_1,filler_1_8,TRUE,FALSE,9
adjH75,adjS49,1,Input.id_1,meager-five-days-sent-temporal-1,TRUE,TRUE,7
adjH103,adjS13,1,Input.id_1,pathetic-twenty-pianists-sent-human-0,TRUE,TRUE,8
adjH179,adjS165,1,Input.id_1,filler_0_16,TRUE,TRUE,1
adjH112,adjS86,1,Input.id_1,devastating-five-pencils-sent-objects-0,TRUE,TRUE,5
adjH84,adjS155,1,Input.id_1,enchanting-twenty-operas-sent-art-0,TRUE,TRUE,10
adjH33,adjS82,1,Input.id_1,filler_1_1,TRUE,TRUE,8
adjH69,adjS132,1,Input.id_1,ugly-five-desks-sent-objects-0,TRUE,TRUE,2
adjH24,adjS131,1,Input.id_1,filler_1_10,TRUE,TRUE,3
adjH122,adjS113,1,Input.id_1,orange-three-bananas-sent-objects-2,TRUE,TRUE,2
adjH22,adjS76,1,Input.id_1,filler_0_18,TRUE,TRUE,10
adjH155,adjS8,1,Input.id_1,filler_1_8,TRUE,TRUE,8
adjH60,adjS149,1,Input.id_1,filler_0_16,TRUE,TRUE,3
adjH21,adjS195,1,Input.id_1,filler_0_17,TRUE,TRUE,2
adjH102,adjS110,1,Input.id_1,filler_0_14,TRUE,TRUE,9
adjH130,adjS58,1,Input.id_1,filler_1_8,TRUE,TRUE,9
adjH173,adjS37,1,Input.id_1,filler_1_10,TRUE,TRUE,10
adjH80,adjS137,1,Input.id_1,green-twenty-bananas-sent-objects-1,TRUE,TRUE,2
adjH105,adjS117,1,Input.id_1,filler_0_16,TRUE,TRUE,1
adjH129,adjS92,1,Input.id_1,mediocre-five-years-sent-temporal-2,TRUE,TRUE,6
adjH199,adjS193,1,Input.id_1,unsatisfying-twenty-hours-sent-temporal-2,TRUE,TRUE,9
adjH7,adjS50,1,Input.id_1,paltry-three-awards-sent-unitlike-1,TRUE,TRUE,1
adjH194,adjS95,1,Input.id_1,whopping-twenty-years-sent-temporal-1,TRUE,TRUE,8
adjH76,adjS29,1,Input.id_1,filler_0_16,TRUE,TRUE,5
adjH86,adjS134,1,Input.id_1,disappointing-three-desks-sent-objects-1,TRUE,TRUE,8
adjH147,adjS174,1,Input.id_1,filler_0_14,TRUE,TRUE,5
adjH168,adjS90,1,Input.id_1,filler_1_9,TRUE,TRUE,10
adjH90,adjS190,1,Input.id_1,filler_1_13,TRUE,TRUE,10
adjH8,adjS112,1,Input.id_1,filler_0_14,TRUE,TRUE,9
adjH31,adjS4,1,Input.id_1,filler_0_17,TRUE,TRUE,2
adjH106,adjS36,1,Input.id_1,filler_0_14,TRUE,TRUE,7
adjH177,adjS138,1,Input.id_1,filler_1_13,TRUE,TRUE,9
adjH83,adjS148,1,Input.id_1,lovely-three-steps-sent-distance-1,TRUE,TRUE,5
adjH114,adjS129,1,Input.id_1,record-setting-three-chairs-sent-objects-1,TRUE,TRUE,8
adjH67,adjS68,1,Input.id_1,filler_0_2,TRUE,TRUE,2
adjH188,adjS177,1,Input.id_1,impressive-three-shows-sent-art-1,TRUE,TRUE,6
adjH32,adjS75,1,Input.id_1,filler_1_10,TRUE,TRUE,10
adjH91,adjS66,1,Input.id_1,meager-three-books-sent-art-1,TRUE,TRUE,7
adjH6,adjS116,1,Input.id_1,enchanting-three-yards-sent-distance-2,TRUE,TRUE,2
adjH97,adjS65,1,Input.id_1,impressive-three-steps-sent-distance-0,TRUE,TRUE,10
adjH138,adjS55,1,Input.id_1,filler_0_17,TRUE,TRUE,1
adjH49,adjS97,1,Input.id_1,lovely-twenty-athletes-sent-human-1,TRUE,TRUE,7
adjH163,adjS40,1,Input.id_1,filler_1_8,TRUE,TRUE,5
adjH51,adjS105,1,Input.id_1,substantial-five-feet-sent-distance-1,TRUE,TRUE,8
adjH128,adjS119,1,Input.id_1,remarkable-twenty-meals-sent-unitlike-0,TRUE,TRUE,8
adjH36,adjS96,1,Input.id_1,blue-twenty-marbles-sent-objects-2,TRUE,TRUE,1
adjH52,adjS12,1,Input.id_1,extra-five-chairs-sent-objects-2,TRUE,TRUE,8
adjH68,adjS22,1,Input.id_1,filler_0_14,TRUE,TRUE,3
adjH160,adjS81,1,Input.id_1,filler_0_16,TRUE,TRUE,6
adjH142,adjS72,1,Input.id_1,filler_1_1,TRUE,TRUE,9
adjH116,adjS103,1,Input.id_1,filler_1_12,TRUE,TRUE,10
adjH109,adjS157,1,Input.id_1,filler_0_6,TRUE,TRUE,1
adjH56,adjS171,1,Input.id_1,pathetic-three-meters-sent-distance-2,TRUE,TRUE,8
adjH10,adjS127,1,Input.id_1,devastating-three-weeks-sent-temporal-1,TRUE,TRUE,9
adjH45,adjS11,1,Input.id_1,measly-three-Americans-sent-human-2,TRUE,TRUE,5
adjH30,adjS147,1,Input.id_1,grinning-five-pianists-sent-human-0,TRUE,TRUE,2
adjH196,adjS118,1,Input.id_1,filler_0_15,TRUE,TRUE,9
adjH2,adjS107,1,Input.id_1,filler_1_8,TRUE,TRUE,10
adjH113,adjS23,1,Input.id_1,haunting-twenty-actors-sent-human-0,TRUE,TRUE,2
adjH93,adjS125,1,Input.id_1,filler_1_10,TRUE,FALSE,8
adjH48,adjS198,1,Input.id_1,staggering-five-forks-sent-objects-1,TRUE,TRUE,9
adjH181,adjS145,1,Input.id_1,record-setting-twenty-awards-sent-unitlike-0,TRUE,TRUE,9
adjH94,adjS39,1,Input.id_1,filler_1_12,TRUE,TRUE,10
adjH12,adjS42,1,Input.id_1,staggering-twenty-books-sent-art-1,TRUE,TRUE,6
adjH104,adjS192,1,Input.id_1,filler_0_7,TRUE,TRUE,2
adjH170,adjS10,1,Input.id_1,filler_1_11,TRUE,NA,10
adjH185,adjS130,1,Input.id_1,mediocre-five-cans-sent-objects-1,TRUE,TRUE,4
adjH120,adjS121,1,Input.id_1,record-setting-three-hours-sent-temporal-2,TRUE,TRUE,8
adjH35,adjS142,1,Input.id_1,filler_1_1,TRUE,TRUE,7
adjH172,adjS38,1,Input.id_1,extra-five-meters-sent-distance-2,TRUE,TRUE,10
adjH95,adjS84,1,Input.id_1,haunting-three-yards-sent-distance-2,FALSE,FALSE,2
adjH125,adjS47,1,Input.id_1,hideous-five-lawyers-sent-human-0,TRUE,TRUE,4
adjH133,adjS153,1,Input.id_1,soothing-three-paragraphs-sent-unitlike-2,TRUE,TRUE,4
adjH23,adjS146,1,Input.id_1,whopping-five-days-sent-temporal-1,TRUE,TRUE,9
adjH107,adjS2,1,Input.id_1,lovely-three-pianists-sent-human-0,TRUE,TRUE,3
adjH5,adjS185,1,Input.id_1,filler_1_5,TRUE,TRUE,9
adjH198,adjS93,1,Input.id_1,filler_0_16,TRUE,TRUE,2
adjH197,adjS15,1,Input.id_1,charming-five-teammates-sent-human-0,TRUE,TRUE,9
adjH137,adjS135,1,Input.id_1,meager-three-feet-sent-distance-2,TRUE,TRUE,10
adjH55,adjS133,1,Input.id_1,mere-three-hours-sent-temporal-2,TRUE,TRUE,9
adjH152,adjS44,1,Input.id_1,filler_0_17,TRUE,TRUE,1
adjH193,adjS14,1,Input.id_1,filler_0_17,TRUE,TRUE,1
adjH44,adjS120,1,Input.id_1,filler_0_2,TRUE,TRUE,3
adjH66,adjS144,1,Input.id_1,incredible-five-blocks-sent-distance-2,TRUE,TRUE,8
adjH15,adjS3,1,Input.id_1,soothing-three-blocks-sent-distance-1,TRUE,TRUE,7
adjH57,adjS194,1,Input.id_1,extra-three-days-sent-temporal-1,TRUE,TRUE,9
adjH124,adjS108,1,Input.id_1,filler_0_6,TRUE,TRUE,1
adjH74,adjS54,1,Input.id_1,unsatisfying-five-bankers-sent-human-1,TRUE,TRUE,3
adjH123,adjS169,1,Input.id_1,filler_1_11,TRUE,TRUE,10
adjH156,adjS124,1,Input.id_1,remarkable-three-weeks-sent-temporal-2,TRUE,TRUE,8
adjH135,adjS88,1,Input.id_1,staggering-three-acts-sent-unitlike-1,FALSE,TRUE,10
adjH182,adjS166,1,Input.id_1,disappointing-twenty-trays-sent-objects-0,TRUE,TRUE,7
adjH43,adjS164,1,Input.id_1,disgusting-five-athletes-sent-human-1,FALSE,TRUE,3
adjH153,adjS45,1,Input.id_1,filler_1_9,FALSE,TRUE,8
adjH101,adjS7,1,Input.id_1,beautiful-twenty-students-sent-human-2,TRUE,TRUE,7
adjH111,adjS106,1,Input.id_1,soothing-three-apples-sent-objects-0,FALSE,TRUE,2
adjH40,adjS59,1,Input.id_1,filler_1_4,TRUE,TRUE,7
adjH139,adjS167,1,Input.id_1,filler_1_8,TRUE,TRUE,10
adjH17,adjS56,1,Input.id_1,filler_1_9,TRUE,TRUE,10
adjH169,adjS173,1,Input.id_1,devastating-three-steps-sent-distance-1,TRUE,TRUE,8
adjH191,adjS16,1,Input.id_1,unsatisfying-five-belts-sent-objects-2,TRUE,TRUE,3
adjH187,adjS63,1,Input.id_1,disappointing-three-hours-sent-temporal-0,TRUE,TRUE,10
adjH16,adjS158,1,Input.id_1,yellow-five-bananas-sent-objects-1,TRUE,TRUE,2
adjH100,adjS70,1,Input.id_1,filler_1_8,TRUE,TRUE,7
adjH192,adjS43,1,Input.id_1,filler_1_12,TRUE,TRUE,10
adjH88,adjS79,1,Input.id_1,measly-three-awards-sent-unitlike-1,TRUE,TRUE,4
adjH200,adjS30,1,Input.id_1,large-twenty-pianists-sent-human-1,TRUE,TRUE,2
adjH77,adjS1,1,Input.id_1,filler_1_9,TRUE,TRUE,10
adjH4,adjS19,1,Input.id_1,filler_0_3,TRUE,TRUE,4
adjH148,adjS126,1,Input.id_1,impressive-twenty-students-sent-human-2,TRUE,TRUE,6
adjH61,adjS184,1,Input.id_1,filler_1_4,TRUE,TRUE,10
adjH178,adjS71,1,Input.id_1,filler_1_8,TRUE,TRUE,10
adjH38,adjS141,1,Input.id_1,hefty-three-meters-sent-distance-0,TRUE,TRUE,9
adjH92,adjS191,1,Input.id_1,record-setting-five-chairs-sent-objects-1,TRUE,TRUE,9
adjH158,adjS52,1,Input.id_1,haunting-twenty-acts-sent-unitlike-1,TRUE,TRUE,1
adjH134,adjS89,1,Input.id_1,filler_0_7,TRUE,TRUE,3
adjH117,adjS152,1,Input.id_1,lovely-five-blocks-sent-distance-1,TRUE,TRUE,3
adjH140,adjS41,1,Input.id_1,whopping-three-meals-sent-unitlike-1,TRUE,TRUE,10
adjH110,adjS122,1,Input.id_1,beautiful-five-steps-sent-distance-2,TRUE,TRUE,4
adjH115,adjS5,1,Input.id_1,mediocre-twenty-years-sent-temporal-2,TRUE,TRUE,2
adjH118,adjS24,1,Input.id_1,filler_1_13,TRUE,TRUE,10
adjH47,adjS31,1,Input.id_1,impressive-twenty-hours-sent-temporal-0,TRUE,TRUE,9
adjH73,adjS180,1,Input.id_1,filler_1_11,TRUE,TRUE,9
adjH71,adjS18,1,Input.id_1,measly-twenty-books-sent-art-1,TRUE,TRUE,2
adjH25,adjS197,1,Input.id_1,filler_0_6,TRUE,TRUE,2
adjH85,adjS161,1,Input.id_1,mediocre-three-meals-sent-unitlike-2,TRUE,TRUE,8
adjH184,adjS128,1,Input.id_1,staggering-three-paintings-sent-art-2,TRUE,TRUE,2
adjH166,adjS154,1,Input.id_1,staggering-three-chairs-sent-objects-0,TRUE,TRUE,8
adjH28,adjS26,1,Input.id_1,unsatisfying-five-movies-sent-art-0,TRUE,TRUE,3
adjH176,adjS140,1,Input.id_1,pathetic-twenty-days-sent-temporal-2,TRUE,TRUE,5
adjH70,adjS114,1,Input.id_1,surprising-three-operas-sent-art-2,TRUE,TRUE,4
adjH180,adjS27,1,Input.id_1,filler_1_11,TRUE,TRUE,10
adjH46,adjS53,1,Input.id_1,filler_1_12,TRUE,TRUE,10
adjH98,adjS17,1,Input.id_1,filler_0_16,TRUE,TRUE,3
adjH108,adjS115,1,Input.id_1,paltry-three-weeks-sent-temporal-2,FALSE,FALSE,10
adjH13,adjS78,1,Input.id_1,pathetic-three-doctors-sent-human-2,TRUE,TRUE,2
adjH121,adjS94,1,Input.id_1,filler_0_18,FALSE,TRUE,2
adjH18,adjS187,1,Input.id_1,filler_0_17,TRUE,TRUE,1
adjH19,adjS46,1,Input.id_10,meager-three-paintings-sent-art-0,TRUE,TRUE,9
adjH149,adjS61,1,Input.id_10,big-twenty-desks-sent-objects-0,FALSE,FALSE,4
adjH174,adjS9,1,Input.id_10,filler_0_17,TRUE,TRUE,1
adjH1,adjS176,1,Input.id_10,soothing-three-acts-sent-unitlike-0,TRUE,TRUE,2
adjH167,adjS175,1,Input.id_10,filler_0_15,TRUE,TRUE,4
adjH62,adjS80,1,Input.id_10,measly-twenty-months-sent-temporal-2,TRUE,TRUE,10
adjH175,adjS74,1,Input.id_10,filler_0_7,TRUE,TRUE,1
adjH59,adjS182,1,Input.id_10,filler_1_5,TRUE,TRUE,10
adjH72,adjS60,1,Input.id_10,astonishing-three-acts-sent-unitlike-2,TRUE,TRUE,10
adjH99,adjS83,1,Input.id_10,record-setting-twenty-shows-sent-art-0,TRUE,TRUE,9
adjH195,adjS183,1,Input.id_10,remarkable-three-actors-sent-human-0,TRUE,TRUE,4
adjH150,adjS168,1,Input.id_10,paltry-twenty-years-sent-temporal-0,TRUE,TRUE,10
adjH42,adjS51,1,Input.id_10,filler_0_16,TRUE,TRUE,7
adjH20,adjS109,1,Input.id_10,astonishing-twenty-months-sent-temporal-2,TRUE,TRUE,10
adjH14,adjS181,1,Input.id_10,mediocre-three-feet-sent-distance-0,TRUE,TRUE,9
adjH144,adjS123,1,Input.id_10,substantial-three-meals-sent-unitlike-0,TRUE,TRUE,10
adjH151,adjS48,1,Input.id_10,ugly-twenty-meters-sent-distance-2,FALSE,FALSE,10
adjH164,adjS100,1,Input.id_10,filler_0_2,TRUE,TRUE,4
adjH81,adjS143,1,Input.id_10,unsatisfying-three-weeks-sent-temporal-1,TRUE,TRUE,9
adjH126,adjS98,1,Input.id_10,filler_1_1,TRUE,TRUE,7
adjH190,adjS87,1,Input.id_10,filler_1_4,TRUE,TRUE,8
adjH171,adjS21,1,Input.id_10,filler_1_12,TRUE,TRUE,10
adjH29,adjS25,1,Input.id_10,filler_0_3,TRUE,TRUE,2
adjH34,adjS172,1,Input.id_10,filler_0_18,TRUE,TRUE,1
adjH63,adjS200,1,Input.id_10,remarkable-twenty-cans-sent-objects-2,TRUE,TRUE,8
adjH37,adjS62,1,Input.id_10,uninviting-twenty-feet-sent-distance-2,TRUE,TRUE,4
adjH89,adjS163,1,Input.id_10,filler_1_8,TRUE,TRUE,10
adjH26,adjS73,1,Input.id_10,ugly-three-chairs-sent-objects-2,TRUE,TRUE,8
adjH87,adjS6,1,Input.id_10,disappointing-twenty-movies-sent-art-1,TRUE,TRUE,6
adjH50,adjS32,1,Input.id_10,round-twenty-apples-sent-objects-0,TRUE,TRUE,9
adjH165,adjS85,1,Input.id_10,disappointing-three-belts-sent-objects-0,TRUE,TRUE,8
adjH41,adjS188,1,Input.id_10,filler_0_3,TRUE,TRUE,4
adjH141,adjS160,1,Input.id_10,mediocre-five-feet-sent-distance-1,TRUE,TRUE,9
adjH119,adjS57,1,Input.id_10,unsatisfying-twenty-pencils-sent-objects-2,TRUE,TRUE,9
adjH189,adjS186,1,Input.id_10,filler_0_15,TRUE,TRUE,6
adjH136,adjS156,1,Input.id_10,filler_1_12,TRUE,TRUE,10
adjH78,adjS178,1,Input.id_10,remarkable-three-hours-sent-temporal-0,TRUE,TRUE,10
adjH183,adjS139,1,Input.id_10,filler_0_16,TRUE,TRUE,2
adjH65,adjS104,1,Input.id_10,unsatisfying-five-bankers-sent-human-0,TRUE,TRUE,8
adjH146,adjS162,1,Input.id_10,staggering-five-acts-sent-unitlike-1,TRUE,TRUE,9
adjH157,adjS151,1,Input.id_10,record-setting-five-days-sent-temporal-1,TRUE,TRUE,10
adjH3,adjS111,1,Input.id_10,devastating-twenty-months-sent-temporal-1,TRUE,TRUE,9
adjH9,adjS77,1,Input.id_10,beautiful-twenty-blocks-sent-distance-0,TRUE,TRUE,9
adjH58,adjS150,1,Input.id_10,fancy-three-actors-sent-human-1,TRUE,TRUE,2
adjH145,adjS179,1,Input.id_10,uninviting-five-years-sent-temporal-0,TRUE,TRUE,9
adjH27,adjS101,1,Input.id_10,filler_1_8,TRUE,TRUE,9
adjH96,adjS69,1,Input.id_10,filler_0_2,FALSE,FALSE,10
adjH79,adjS102,1,Input.id_10,filler_1_13,TRUE,TRUE,10
adjH154,adjS34,1,Input.id_10,paltry-twenty-feet-sent-distance-1,TRUE,TRUE,10
adjH39,adjS170,1,Input.id_10,shy-twenty-Americans-sent-human-0,TRUE,TRUE,8
adjH53,adjS67,1,Input.id_10,filler_0_17,TRUE,TRUE,2
adjH54,adjS196,1,Input.id_10,filler_1_13,TRUE,TRUE,10
adjH161,adjS159,1,Input.id_10,filler_1_1,TRUE,TRUE,2
adjH127,adjS64,1,Input.id_10,lovely-twenty-meters-sent-distance-2,TRUE,TRUE,4
adjH11,adjS99,1,Input.id_10,filler_0_17,TRUE,TRUE,3
adjH131,adjS28,1,Input.id_10,meager-twenty-operas-sent-art-2,TRUE,TRUE,9
adjH82,adjS199,1,Input.id_10,haunting-three-years-sent-temporal-1,TRUE,TRUE,10
adjH186,adjS189,1,Input.id_10,hefty-three-cans-sent-objects-1,TRUE,TRUE,3
adjH143,adjS91,1,Input.id_10,filler_0_16,TRUE,TRUE,1
adjH132,adjS35,1,Input.id_10,filler_1_9,TRUE,TRUE,10
adjH64,adjS33,1,Input.id_10,filler_1_11,TRUE,TRUE,10
adjH162,adjS136,1,Input.id_10,filler_1_1,TRUE,TRUE,9
adjH159,adjS20,1,Input.id_10,filler_1_13,TRUE,FALSE,10
adjH75,adjS49,1,Input.id_10,big-twenty-bananas-sent-objects-2,TRUE,TRUE,2
adjH103,adjS13,1,Input.id_10,filler_0_7,TRUE,TRUE,2
adjH179,adjS165,1,Input.id_10,extra-three-meters-sent-distance-0,TRUE,TRUE,10
adjH112,adjS86,1,Input.id_10,filler_1_10,TRUE,TRUE,10
adjH84,adjS155,1,Input.id_10,uninviting-twenty-paintings-sent-art-1,TRUE,TRUE,2
adjH33,adjS82,1,Input.id_10,talented-three-pianists-sent-human-0,TRUE,TRUE,5
adjH69,adjS132,1,Input.id_10,filler_1_5,TRUE,TRUE,2
adjH24,adjS131,1,Input.id_10,whopping-three-paragraphs-sent-unitlike-2,TRUE,TRUE,10
adjH122,adjS113,1,Input.id_10,charming-twenty-years-sent-temporal-2,TRUE,TRUE,2
adjH22,adjS76,1,Input.id_10,lovely-five-hours-sent-temporal-1,TRUE,TRUE,10
adjH155,adjS8,1,Input.id_10,filler_1_13,TRUE,TRUE,10
adjH60,adjS149,1,Input.id_10,filler_0_3,TRUE,TRUE,2
adjH21,adjS195,1,Input.id_10,filler_1_1,TRUE,TRUE,10
adjH102,adjS110,1,Input.id_10,filler_1_1,TRUE,TRUE,10
adjH130,adjS58,1,Input.id_10,pathetic-five-teammates-sent-human-0,TRUE,TRUE,8
adjH173,adjS37,1,Input.id_10,mediocre-three-meals-sent-unitlike-0,TRUE,TRUE,9
adjH80,adjS137,1,Input.id_10,measly-twenty-years-sent-temporal-0,TRUE,TRUE,5
adjH105,adjS117,1,Input.id_10,filler_1_12,TRUE,TRUE,10
adjH129,adjS92,1,Input.id_10,filler_1_11,TRUE,TRUE,10
adjH199,adjS193,1,Input.id_10,record-setting-twenty-weeks-sent-temporal-0,TRUE,TRUE,10
adjH7,adjS50,1,Input.id_10,filler_1_11,TRUE,TRUE,10
adjH194,adjS95,1,Input.id_10,yellow-twenty-chairs-sent-objects-0,TRUE,TRUE,4
adjH76,adjS29,1,Input.id_10,uninviting-five-students-sent-human-1,TRUE,TRUE,8
adjH86,adjS134,1,Input.id_10,disgusting-twenty-years-sent-temporal-2,TRUE,TRUE,9
adjH147,adjS174,1,Input.id_10,filler_1_12,TRUE,TRUE,8
adjH168,adjS90,1,Input.id_10,remarkable-twenty-movies-sent-art-2,TRUE,TRUE,9
adjH90,adjS190,1,Input.id_10,filler_0_16,TRUE,TRUE,1
adjH8,adjS112,1,Input.id_10,graceful-three-bankers-sent-human-0,TRUE,TRUE,1
adjH31,adjS4,1,Input.id_10,meager-five-meters-sent-distance-1,TRUE,TRUE,8
adjH106,adjS36,1,Input.id_10,filler_0_18,TRUE,TRUE,2
adjH177,adjS138,1,Input.id_10,impressive-five-weeks-sent-temporal-2,TRUE,TRUE,7
adjH83,adjS148,1,Input.id_10,hefty-three-years-sent-temporal-2,TRUE,TRUE,9
adjH114,adjS129,1,Input.id_10,filler_0_2,TRUE,TRUE,2
adjH67,adjS68,1,Input.id_10,record-setting-five-books-sent-art-2,TRUE,TRUE,9
adjH188,adjS177,1,Input.id_10,disgusting-three-years-sent-temporal-0,TRUE,TRUE,10
adjH32,adjS75,1,Input.id_10,filler_1_9,TRUE,TRUE,10
adjH91,adjS66,1,Input.id_10,enchanting-five-pages-sent-unitlike-0,TRUE,TRUE,10
adjH6,adjS116,1,Input.id_10,soothing-five-months-sent-temporal-1,TRUE,TRUE,7
adjH97,adjS65,1,Input.id_10,astonishing-three-doctors-sent-human-2,TRUE,TRUE,9
adjH138,adjS55,1,Input.id_10,filler_1_1,TRUE,TRUE,10
adjH49,adjS97,1,Input.id_10,beautiful-twenty-trays-sent-objects-2,TRUE,TRUE,8
adjH163,adjS40,1,Input.id_10,filler_0_15,TRUE,TRUE,1
adjH51,adjS105,1,Input.id_10,mediocre-five-meals-sent-unitlike-2,TRUE,TRUE,9
adjH128,adjS119,1,Input.id_10,filler_1_13,TRUE,TRUE,10
adjH36,adjS96,1,Input.id_10,mediocre-twenty-paragraphs-sent-unitlike-0,TRUE,TRUE,9
adjH52,adjS12,1,Input.id_10,mediocre-five-feet-sent-distance-2,TRUE,TRUE,7
adjH68,adjS22,1,Input.id_10,hideous-twenty-days-sent-temporal-0,TRUE,TRUE,10
adjH160,adjS81,1,Input.id_10,filler_1_12,TRUE,TRUE,10
adjH142,adjS72,1,Input.id_10,filler_0_15,TRUE,TRUE,2
adjH116,adjS103,1,Input.id_10,surprising-three-steps-sent-distance-2,TRUE,TRUE,7
adjH109,adjS157,1,Input.id_10,hefty-twenty-shows-sent-art-2,TRUE,TRUE,8
adjH56,adjS171,1,Input.id_10,filler_0_18,TRUE,TRUE,1
