,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,sent_default,sent_no_plural,sent_no_mod,sent_default_nomod,sent_no_a,sent_reverse_mods,rating-sent,goodness-sent,rating-sent_default,goodness-sent_default,rating-sent_no_plural,goodness-sent_no_plural,rating-sent_no_mod,goodness-sent_no_mod,rating-sent_default_nomod,goodness-sent_default_nomod,rating-sent_no_a,goodness-sent_no_a,rating-sent_reverse_mods,goodness-sent_reverse_mods
10,spentLondon,0,astonishing,six,days,adj-ambig,num-low,noun-measure,The family spent an astonishing six days in London.,The family spent six astonishing days in London.,The family spent an astonishing six day in London.,The family spent a six days in London.,The family spent six days in London.,The family spent astonishing six days in London.,The family spent a six astonishing days in London., good,0.9993739611841246, good,0.9996954064980227, bad,0.09708041708866466, bad,0.03436619838841137, good,0.9985781170348376, good,0.945702794510435, good,0.9604558216404981
11,spentLondon,0,astonishing,six,weeks,adj-ambig,num-low,noun-measure,The family spent an astonishing six weeks in London.,The family spent six astonishing weeks in London.,The family spent an astonishing six week in London.,The family spent a six weeks in London.,The family spent six weeks in London.,The family spent astonishing six weeks in London.,The family spent a six astonishing weeks in London., good,0.9992104035954329, good,0.9995800130192335, bad,0.1879468132159704, bad,0.10269393362301205, good,0.9982711529807018, good,0.9383391388913676, good,0.9784356688181766
12,spentLondon,0,astonishing,six,months,adj-ambig,num-low,noun-measure,The family spent an astonishing six months in London.,The family spent six astonishing months in London.,The family spent an astonishing six month in London.,The family spent a six months in London.,The family spent six months in London.,The family spent astonishing six months in London.,The family spent a six astonishing months in London., good,0.999260533340328, good,0.9996481402871533, good,0.9223104762258281, bad,0.20659569904476927, good,0.9982147080329814, good,0.9471859330974444, good,0.9662066019336559
13,spentLondon,0,astonishing,six,years,adj-ambig,num-low,noun-measure,The family spent an astonishing six years in London.,The family spent six astonishing years in London.,The family spent an astonishing six year in London.,The family spent a six years in London.,The family spent six years in London.,The family spent astonishing six years in London.,The family spent a six astonishing years in London., good,0.9993100633158436, good,0.9996020078498957, bad,0.20395026186846665, bad,0.002857826816107578, good,0.9979236579865719, good,0.9165618765639014, good,0.8188832313156281
14,spentLondon,0,astonishing,six,hours,adj-ambig,num-low,noun-measure,The family spent an astonishing six hours in London.,The family spent six astonishing hours in London.,The family spent an astonishing six hour in London.,The family spent a six hours in London.,The family spent six hours in London.,The family spent astonishing six hours in London.,The family spent a six astonishing hours in London., good,0.9991843581567934, good,0.9995202300064476, bad,0.017779077564680112, bad,0.01607820823283812, good,0.9954033128536708, good,0.8212343218164541, good,0.7750639941042606
15,spentLondon,0,astonishing,eight,days,adj-ambig,num-low,noun-measure,The family spent an astonishing eight days in London.,The family spent eight astonishing days in London.,The family spent an astonishing eight day in London.,The family spent an eight days in London.,The family spent eight days in London.,The family spent astonishing eight days in London.,The family spent an eight astonishing days in London., good,0.9995672584396503, good,0.9997909535132624, bad,0.08866633369607047, bad,0.013461918866055744, good,0.9990735522179891, good,0.9678833888753863, good,0.9976876195802762
16,spentLondon,0,astonishing,eight,weeks,adj-ambig,num-low,noun-measure,The family spent an astonishing eight weeks in London.,The family spent eight astonishing weeks in London.,The family spent an astonishing eight week in London.,The family spent an eight weeks in London.,The family spent eight weeks in London.,The family spent astonishing eight weeks in London.,The family spent an eight astonishing weeks in London., good,0.9993981597785234, good,0.9997393980125985, bad,0.023074159360568558, bad,0.030800759813960576, good,0.998608754580461, good,0.9403970070089386, good,0.9978054588342509
17,spentLondon,0,astonishing,eight,months,adj-ambig,num-low,noun-measure,The family spent an astonishing eight months in London.,The family spent eight astonishing months in London.,The family spent an astonishing eight month in London.,The family spent an eight months in London.,The family spent eight months in London.,The family spent astonishing eight months in London.,The family spent an eight astonishing months in London., good,0.9994269490564465, good,0.9997433309051496, good,0.9418892823253325, bad,0.20750056011447127, good,0.9983135910882353, good,0.9491537954169615, good,0.9961672717244755
18,spentLondon,0,astonishing,eight,years,adj-ambig,num-low,noun-measure,The family spent an astonishing eight years in London.,The family spent eight astonishing years in London.,The family spent an astonishing eight year in London.,The family spent an eight years in London.,The family spent eight years in London.,The family spent astonishing eight years in London.,The family spent an eight astonishing years in London., good,0.9994294529239184, good,0.9997428532279002, bad,0.2906323219093756, bad,0.0050310884648886445, good,0.9984278550167122, good,0.9468583429908073, good,0.9941684170757605
19,spentLondon,0,astonishing,eight,hours,adj-ambig,num-low,noun-measure,The family spent an astonishing eight hours in London.,The family spent eight astonishing hours in London.,The family spent an astonishing eight hour in London.,The family spent an eight hours in London.,The family spent eight hours in London.,The family spent astonishing eight hours in London.,The family spent an eight astonishing hours in London., good,0.9993618611972285, good,0.9997032756513798, bad,0.0037111934360397614, bad,0.07092664682384586, good,0.996194868928665, good,0.8426267525004885, good,0.9929792464542817
20,spentLondon,0,astonishing,ten,days,adj-ambig,num-low,noun-measure,The family spent an astonishing ten days in London.,The family spent ten astonishing days in London.,The family spent an astonishing ten day in London.,The family spent a ten days in London.,The family spent ten days in London.,The family spent astonishing ten days in London.,The family spent a ten astonishing days in London., good,0.9995946170898649, good,0.999752749731387, bad,0.029749291005929934, bad,0.11758924255822212, good,0.9986764050255332, good,0.9849681611874821, good,0.996782218391874
21,spentLondon,0,astonishing,ten,weeks,adj-ambig,num-low,noun-measure,The family spent an astonishing ten weeks in London.,The family spent ten astonishing weeks in London.,The family spent an astonishing ten week in London.,The family spent a ten weeks in London.,The family spent ten weeks in London.,The family spent astonishing ten weeks in London.,The family spent a ten astonishing weeks in London., good,0.9995117637661186, good,0.9996848001859023, bad,0.04667980461881949, bad,0.04092218444744866, good,0.9980804159626009, good,0.9610852252702158, good,0.9928481763835393
22,spentLondon,0,astonishing,ten,months,adj-ambig,num-low,noun-measure,The family spent an astonishing ten months in London.,The family spent ten astonishing months in London.,The family spent an astonishing ten month in London.,The family spent a ten months in London.,The family spent ten months in London.,The family spent astonishing ten months in London.,The family spent a ten astonishing months in London., good,0.99959115862842, good,0.9997252122410739, bad,0.4511414000849546, bad,0.12695301986250396, good,0.9968748451942243, good,0.9640642241775097, good,0.9956040073863749
23,spentLondon,0,astonishing,ten,years,adj-ambig,num-low,noun-measure,The family spent an astonishing ten years in London.,The family spent ten astonishing years in London.,The family spent an astonishing ten year in London.,The family spent a ten years in London.,The family spent ten years in London.,The family spent astonishing ten years in London.,The family spent a ten astonishing years in London., good,0.9996487379869515, good,0.9997219926212151, bad,0.17717659001687647, bad,0.0048867209377482235, good,0.9982638219039275, good,0.9610817096268919, good,0.9942388703227382
24,spentLondon,0,astonishing,ten,hours,adj-ambig,num-low,noun-measure,The family spent an astonishing ten hours in London.,The family spent ten astonishing hours in London.,The family spent an astonishing ten hour in London.,The family spent a ten hours in London.,The family spent ten hours in London.,The family spent astonishing ten hours in London.,The family spent a ten astonishing hours in London., good,0.99956833179554, good,0.9996476636250442, bad,0.006767733637650042, bad,0.04316440849661707, good,0.9961545173784623, good,0.8834998915259846, good,0.9832052903482758
25,spentLondon,0,astonishing,twenty,days,adj-ambig,num-med,noun-measure,The family spent an astonishing twenty days in London.,The family spent twenty astonishing days in London.,The family spent an astonishing twenty day in London.,The family spent a twenty days in London.,The family spent twenty days in London.,The family spent astonishing twenty days in London.,The family spent a twenty astonishing days in London., good,0.9994123465359728, good,0.9996751427075606, bad,0.01946601200044029, bad,0.012492446379336108, good,0.9973465595130289, good,0.9840718739158064, good,0.9951431368890016
26,spentLondon,0,astonishing,twenty,weeks,adj-ambig,num-med,noun-measure,The family spent an astonishing twenty weeks in London.,The family spent twenty astonishing weeks in London.,The family spent an astonishing twenty week in London.,The family spent a twenty weeks in London.,The family spent twenty weeks in London.,The family spent astonishing twenty weeks in London.,The family spent a twenty astonishing weeks in London., good,0.9992011670370741, good,0.999490547714907, bad,0.07949056638322216, bad,0.01453569476533656, good,0.9949733237345325, good,0.9647803211839866, good,0.9894456660079611
27,spentLondon,0,astonishing,twenty,months,adj-ambig,num-med,noun-measure,The family spent an astonishing twenty months in London.,The family spent twenty astonishing months in London.,The family spent an astonishing twenty month in London.,The family spent a twenty months in London.,The family spent twenty months in London.,The family spent astonishing twenty months in London.,The family spent a twenty astonishing months in London., good,0.999261726408154, good,0.9995539063493732, bad,0.2232581319792315, bad,0.012194720317760255, good,0.9971267962732903, good,0.9822963834740374, good,0.9897461310707509
28,spentLondon,0,astonishing,twenty,years,adj-ambig,num-med,noun-measure,The family spent an astonishing twenty years in London.,The family spent twenty astonishing years in London.,The family spent an astonishing twenty year in London.,The family spent a twenty years in London.,The family spent twenty years in London.,The family spent astonishing twenty years in London.,The family spent a twenty astonishing years in London., good,0.9994123465359728, good,0.999583827983608, good,0.802395227607324, bad,0.005632917788710334, good,0.9974561730254103, good,0.98304310533285, good,0.9915162696790814
29,spentLondon,0,astonishing,twenty,hours,adj-ambig,num-med,noun-measure,The family spent an astonishing twenty hours in London.,The family spent twenty astonishing hours in London.,The family spent an astonishing twenty hour in London.,The family spent a twenty hours in London.,The family spent twenty hours in London.,The family spent astonishing twenty hours in London.,The family spent a twenty astonishing hours in London., good,0.9993856448234696, good,0.9994944832766562, bad,0.007498781287866074, bad,0.00394925410335123, good,0.9915227095981666, good,0.9457618649517308, good,0.9617964895696876
30,spentLondon,0,astonishing,fifty,days,adj-ambig,num-med,noun-measure,The family spent an astonishing fifty days in London.,The family spent fifty astonishing days in London.,The family spent an astonishing fifty day in London.,The family spent a fifty days in London.,The family spent fifty days in London.,The family spent astonishing fifty days in London.,The family spent a fifty astonishing days in London., good,0.9995586754123572, good,0.9995854971500526, bad,0.04866189798843856, bad,0.047857159591394915, good,0.9968254352204998, good,0.9814566709366327, good,0.9943212461272309
31,spentLondon,0,astonishing,fifty,weeks,adj-ambig,num-med,noun-measure,The family spent an astonishing fifty weeks in London.,The family spent fifty astonishing weeks in London.,The family spent an astonishing fifty week in London.,The family spent a fifty weeks in London.,The family spent fifty weeks in London.,The family spent astonishing fifty weeks in London.,The family spent a fifty astonishing weeks in London., good,0.9990029230119262, good,0.9993389729746919, bad,0.019458917811373877, bad,0.0014425655006470306, bad,0.49657311959453365, good,0.8346208492566967, good,0.9855882834568023
32,spentLondon,0,astonishing,fifty,months,adj-ambig,num-med,noun-measure,The family spent an astonishing fifty months in London.,The family spent fifty astonishing months in London.,The family spent an astonishing fifty month in London.,The family spent a fifty months in London.,The family spent fifty months in London.,The family spent astonishing fifty months in London.,The family spent a fifty astonishing months in London., good,0.9990496513176196, good,0.9995201099240945, bad,0.05690073803931106, bad,0.0028988354389775095, good,0.9087198755589565, good,0.9688791103450886, good,0.9817453381947729
33,spentLondon,0,astonishing,fifty,years,adj-ambig,num-med,noun-measure,The family spent an astonishing fifty years in London.,The family spent fifty astonishing years in London.,The family spent an astonishing fifty year in London.,The family spent a fifty years in London.,The family spent fifty years in London.,The family spent astonishing fifty years in London.,The family spent a fifty astonishing years in London., good,0.9995135547528723, good,0.9995813256285853, bad,0.2781923006818613, bad,0.01833530887213608, good,0.997466963265416, good,0.971290560538551, good,0.9895123034596418
34,spentLondon,0,astonishing,fifty,hours,adj-ambig,num-med,noun-measure,The family spent an astonishing fifty hours in London.,The family spent fifty astonishing hours in London.,The family spent an astonishing fifty hour in London.,The family spent a fifty hours in London.,The family spent fifty hours in London.,The family spent astonishing fifty hours in London.,The family spent a fifty astonishing hours in London., good,0.9994031662761449, good,0.9994387524583571, bad,0.008872170939095758, bad,0.001337362632485739, good,0.9939270175590349, good,0.9574425497390088, good,0.9805898996415812
35,spentLondon,0,astonishing,500,days,adj-ambig,num-high,noun-measure,The family spent an astonishing 500 days in London.,The family spent 500 astonishing days in London.,The family spent an astonishing 500 day in London.,The family spent a 500 days in London.,The family spent 500 days in London.,The family spent astonishing 500 days in London.,The family spent a 500 astonishing days in London., good,0.9995586754123572, good,0.999188529920067, bad,0.021192875862822147, bad,0.06085762763008351, good,0.9912478728125723, good,0.940251985463794, good,0.9723828708777292
36,spentLondon,0,astonishing,500,weeks,adj-ambig,num-high,noun-measure,The family spent an astonishing 500 weeks in London.,The family spent 500 astonishing weeks in London.,The family spent an astonishing 500 week in London.,The family spent a 500 weeks in London.,The family spent 500 weeks in London.,The family spent astonishing 500 weeks in London.,The family spent a 500 astonishing weeks in London., good,0.9976527512068343, good,0.9923026782827787, bad,0.043998160720447266, bad,0.0024020855641088135, bad,0.2936728051132108, good,0.8145083087080386, good,0.8105970533024511
37,spentLondon,0,astonishing,500,months,adj-ambig,num-high,noun-measure,The family spent an astonishing 500 months in London.,The family spent 500 astonishing months in London.,The family spent an astonishing 500 month in London.,The family spent a 500 months in London.,The family spent 500 months in London.,The family spent astonishing 500 months in London.,The family spent a 500 astonishing months in London., good,0.9858764702009746, good,0.8795588887219985, bad,0.01856120809669015, bad,0.004313144957341586, bad,0.22772009235346813, good,0.8042322607432082, good,0.7199924738592015
38,spentLondon,0,astonishing,500,years,adj-ambig,num-high,noun-measure,The family spent an astonishing 500 years in London.,The family spent 500 astonishing years in London.,The family spent an astonishing 500 year in London.,The family spent a 500 years in London.,The family spent 500 years in London.,The family spent astonishing 500 years in London.,The family spent a 500 astonishing years in London., good,0.9994832749483966, good,0.9988300683043325, bad,0.007539670404026588, bad,0.005698008418974054, good,0.9224239642884653, good,0.864596435044194, good,0.8968899734837453
39,spentLondon,0,astonishing,500,hours,adj-ambig,num-high,noun-measure,The family spent an astonishing 500 hours in London.,The family spent 500 astonishing hours in London.,The family spent an astonishing 500 hour in London.,The family spent a 500 hours in London.,The family spent 500 hours in London.,The family spent astonishing 500 hours in London.,The family spent a 500 astonishing hours in London., good,0.9994093652933896, good,0.9990081104479723, bad,0.006329520654667298, bad,0.0013433206360075056, good,0.9894234937684613, good,0.8479342174169529, good,0.88062891555735
40,spentLondon,0,astonishing,1000,days,adj-ambig,num-high,noun-measure,The family spent an astonishing 1000 days in London.,The family spent 1000 astonishing days in London.,The family spent an astonishing 1000 day in London.,The family spent a 1000 days in London.,The family spent 1000 days in London.,The family spent astonishing 1000 days in London.,The family spent a 1000 astonishing days in London., good,0.9994781498111998, good,0.9982919543730913, good,0.6471773828507402, bad,0.48113860855907997, good,0.9870884120651109, good,0.912172720797377, good,0.9064067429779052
41,spentLondon,0,astonishing,1000,weeks,adj-ambig,num-high,noun-measure,The family spent an astonishing 1000 weeks in London.,The family spent 1000 astonishing weeks in London.,The family spent an astonishing 1000 week in London.,The family spent a 1000 weeks in London.,The family spent 1000 weeks in London.,The family spent astonishing 1000 weeks in London.,The family spent a 1000 astonishing weeks in London., good,0.9982754455558887, good,0.9877884130510884, bad,0.11349026310225696, bad,0.1663663235611169, good,0.6859960014934419, good,0.7113206118113448, good,0.8218059683711505
42,spentLondon,0,astonishing,1000,months,adj-ambig,num-high,noun-measure,The family spent an astonishing 1000 months in London.,The family spent 1000 astonishing months in London.,The family spent an astonishing 1000 month in London.,The family spent a 1000 months in London.,The family spent 1000 months in London.,The family spent astonishing 1000 months in London.,The family spent a 1000 astonishing months in London., good,0.990783077644071, good,0.9023483735831136, bad,0.021399643665141466, bad,0.13839279428848084, bad,0.25941290817326434, good,0.7117389699704424, good,0.7596511000441589
43,spentLondon,0,astonishing,1000,years,adj-ambig,num-high,noun-measure,The family spent an astonishing 1000 years in London.,The family spent 1000 astonishing years in London.,The family spent an astonishing 1000 year in London.,The family spent a 1000 years in London.,The family spent 1000 years in London.,The family spent astonishing 1000 years in London.,The family spent a 1000 astonishing years in London., good,0.9990257490908839, good,0.9983314132413756, bad,0.042297809302259015, bad,0.28652743920881596, good,0.759052958481636, good,0.783818476904955, good,0.844774332012212
44,spentLondon,0,astonishing,1000,hours,adj-ambig,num-high,noun-measure,The family spent an astonishing 1000 hours in London.,The family spent 1000 astonishing hours in London.,The family spent an astonishing 1000 hour in London.,The family spent a 1000 hours in London.,The family spent 1000 hours in London.,The family spent astonishing 1000 hours in London.,The family spent a 1000 astonishing hours in London., good,0.9990610957466871, good,0.9986500623866225, bad,0.2706636952775724, bad,0.2666606472191463, good,0.9817910532490303, good,0.8193240728905489, good,0.8958535258362401
45,spentLondon,0,astonishing,"10,000",days,adj-ambig,num-high,noun-measure,"The family spent an astonishing 10,000 days in London.","The family spent 10,000 astonishing days in London.","The family spent an astonishing 10,000 day in London.","The family spent a 10,000 days in London.","The family spent 10,000 days in London.","The family spent astonishing 10,000 days in London.","The family spent a 10,000 astonishing days in London.", good,0.9978927210364648, good,0.9985806215717536, bad,0.03644271424502521, bad,0.46353459406166464, good,0.978124892654327, good,0.940433486656774, good,0.9749078307664534
46,spentLondon,0,astonishing,"10,000",weeks,adj-ambig,num-high,noun-measure,"The family spent an astonishing 10,000 weeks in London.","The family spent 10,000 astonishing weeks in London.","The family spent an astonishing 10,000 week in London.","The family spent a 10,000 weeks in London.","The family spent 10,000 weeks in London.","The family spent astonishing 10,000 weeks in London.","The family spent a 10,000 astonishing weeks in London.", good,0.9541448086645112, good,0.9895279794377223, bad,0.009269912971722638, bad,0.04789596528633422, bad,0.3829518196265861, good,0.8433345021339974, good,0.8625013369421228
47,spentLondon,0,astonishing,"10,000",months,adj-ambig,num-high,noun-measure,"The family spent an astonishing 10,000 months in London.","The family spent 10,000 astonishing months in London.","The family spent an astonishing 10,000 month in London.","The family spent a 10,000 months in London.","The family spent 10,000 months in London.","The family spent astonishing 10,000 months in London.","The family spent a 10,000 astonishing months in London.", good,0.8916887609425197, good,0.979223522844349, bad,0.008887192358640439, bad,0.051254209336070056, good,0.5180128966628764, good,0.8325434469173506, good,0.8790703503251043
48,spentLondon,0,astonishing,"10,000",years,adj-ambig,num-high,noun-measure,"The family spent an astonishing 10,000 years in London.","The family spent 10,000 astonishing years in London.","The family spent an astonishing 10,000 year in London.","The family spent a 10,000 years in London.","The family spent 10,000 years in London.","The family spent astonishing 10,000 years in London.","The family spent a 10,000 astonishing years in London.", good,0.9967552184192158, good,0.9987267123195271, bad,0.016150686162052508, bad,0.0660278638367866, good,0.8472732645292717, good,0.8606591842729009, good,0.9730373267435923
49,spentLondon,0,astonishing,"10,000",hours,adj-ambig,num-high,noun-measure,"The family spent an astonishing 10,000 hours in London.","The family spent 10,000 astonishing hours in London.","The family spent an astonishing 10,000 hour in London.","The family spent a 10,000 hours in London.","The family spent 10,000 hours in London.","The family spent astonishing 10,000 hours in London.","The family spent a 10,000 astonishing hours in London.", good,0.9980717126395127, good,0.9990256290079961, bad,0.02467673198628384, bad,0.314712348727227, good,0.9846426012731038, good,0.9522920938307482, good,0.9764708242421302
50,spentLondon,0,astonishing,21,days,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 21 days in London.,The family spent 21 astonishing days in London.,The family spent an astonishing 21 day in London.,The family spent a 21 days in London.,The family spent 21 days in London.,The family spent astonishing 21 days in London.,The family spent a 21 astonishing days in London., good,0.9996103529321438, good,0.9996161937724614, good,0.5900642026215466, bad,0.2714364331636304, good,0.9982741337229876, good,0.9930626923895434, good,0.9889710304972628
51,spentLondon,0,astonishing,21,weeks,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 21 weeks in London.,The family spent 21 astonishing weeks in London.,The family spent an astonishing 21 week in London.,The family spent a 21 weeks in London.,The family spent 21 weeks in London.,The family spent astonishing 21 weeks in London.,The family spent a 21 astonishing weeks in London., good,0.9993666302633455, good,0.9994541284421199, bad,0.39250188095837224, bad,0.07796304971725498, good,0.9949751718991978, good,0.9873832757158286, good,0.9769061704356605
52,spentLondon,0,astonishing,21,months,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 21 months in London.,The family spent 21 astonishing months in London.,The family spent an astonishing 21 month in London.,The family spent a 21 months in London.,The family spent 21 months in London.,The family spent astonishing 21 months in London.,The family spent a 21 astonishing months in London., good,0.999380636484817, good,0.9995424619024935, good,0.8583719974449494, bad,0.09869227274363412, good,0.9976695597022148, good,0.9918990489966804, good,0.9833636591287193
53,spentLondon,0,astonishing,21,years,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 21 years in London.,The family spent 21 astonishing years in London.,The family spent an astonishing 21 year in London.,The family spent a 21 years in London.,The family spent 21 years in London.,The family spent astonishing 21 years in London.,The family spent a 21 astonishing years in London., good,0.999467121790052, good,0.9994329099163977, good,0.9660144386873576, bad,0.018885759413820424, good,0.9974453835005969, good,0.9931993051060013, good,0.9740569176837582
54,spentLondon,0,astonishing,21,hours,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 21 hours in London.,The family spent 21 astonishing hours in London.,The family spent an astonishing 21 hour in London.,The family spent a 21 hours in London.,The family spent 21 hours in London.,The family spent astonishing 21 hours in London.,The family spent a 21 astonishing hours in London., good,0.9995201099240945, good,0.9994463823028606, bad,0.247634533197305, bad,0.04159476844340093, good,0.9935109196088373, good,0.9800824854823288, good,0.9592406548930017
55,spentLondon,0,astonishing,51,days,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 51 days in London.,The family spent 51 astonishing days in London.,The family spent an astonishing 51 day in London.,The family spent a 51 days in London.,The family spent 51 days in London.,The family spent astonishing 51 days in London.,The family spent a 51 astonishing days in London., good,0.9997022040100308, good,0.9995468734228705, good,0.6734656410156636, bad,0.10642115910091043, good,0.9973733827115624, good,0.9940540967666187, good,0.9579719032408297
56,spentLondon,0,astonishing,51,weeks,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 51 weeks in London.,The family spent 51 astonishing weeks in London.,The family spent an astonishing 51 week in London.,The family spent a 51 weeks in London.,The family spent 51 weeks in London.,The family spent astonishing 51 weeks in London.,The family spent a 51 astonishing weeks in London., good,0.9994121073366504, good,0.9991294024901094, bad,0.37109085734213265, bad,0.007490556396186898, good,0.8803429337315396, good,0.9855245076096915, good,0.901221368087474
57,spentLondon,0,astonishing,51,months,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 51 months in London.,The family spent 51 astonishing months in London.,The family spent an astonishing 51 month in London.,The family spent a 51 months in London.,The family spent 51 months in London.,The family spent astonishing 51 months in London.,The family spent a 51 astonishing months in London., good,0.9995579604582792, good,0.9995512849027449, bad,0.2661013361142849, bad,0.01406338950008268, good,0.9865216899398965, good,0.9926193539320647, good,0.9267638197539025
58,spentLondon,0,astonishing,51,years,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 51 years in London.,The family spent 51 astonishing years in London.,The family spent an astonishing 51 year in London.,The family spent a 51 years in London.,The family spent 51 years in London.,The family spent astonishing 51 years in London.,The family spent a 51 astonishing years in London., good,0.9996801487833105, good,0.9992874136103581, good,0.8562176081663374, bad,0.019804146720771243, good,0.9940485540358334, good,0.9945888706886783, good,0.9370248746290296
59,spentLondon,0,astonishing,51,hours,adj-ambig,num-med_odd,noun-measure,The family spent an astonishing 51 hours in London.,The family spent 51 astonishing hours in London.,The family spent an astonishing 51 hour in London.,The family spent a 51 hours in London.,The family spent 51 hours in London.,The family spent astonishing 51 hours in London.,The family spent a 51 astonishing hours in London., good,0.9997142424764609, good,0.9995197524757766, good,0.5568252068853541, bad,0.030701878032851626, good,0.9951001640532151, good,0.9941250292320848, good,0.9123664959841667
