,experiment,template,adj,num,noun,adjclass,numclass,nounclass,sent,rating-sent,goodness-sent
52,distance,2,extra,three,blocks,adj-quant,num-num,noun-distance,Someone traveled an extra three blocks., good,0.9211606149687599
53,distance,2,extra,three,steps,adj-quant,num-num,noun-distance,Someone traveled an extra three steps., good,0.8795943444554083
54,distance,2,extra,five,meters,adj-quant,num-num,noun-distance,Someone traveled an extra five meters., good,0.8932238300150903
55,distance,2,extra,five,feet,adj-quant,num-num,noun-distance,Someone traveled an extra five feet., good,0.8782119882622643
56,distance,2,extra,five,yards,adj-quant,num-num,noun-distance,Someone traveled an extra five yards., good,0.917301143384458
57,distance,2,extra,five,blocks,adj-quant,num-num,noun-distance,Someone traveled an extra five blocks., good,0.9541488618802675
58,distance,2,extra,five,steps,adj-quant,num-num,noun-distance,Someone traveled an extra five steps., good,0.9081833113592006
59,distance,2,extra,twenty,meters,adj-quant,num-num,noun-distance,Someone traveled an extra twenty meters., good,0.9367117601241204
60,distance,2,extra,twenty,feet,adj-quant,num-num,noun-distance,Someone traveled an extra twenty feet., good,0.9316950010010595
61,distance,2,extra,twenty,yards,adj-quant,num-num,noun-distance,Someone traveled an extra twenty yards., good,0.9443632265078943
62,distance,2,extra,twenty,blocks,adj-quant,num-num,noun-distance,Someone traveled an extra twenty blocks., good,0.9369796361601479
63,distance,2,extra,twenty,steps,adj-quant,num-num,noun-distance,Someone traveled an extra twenty steps., good,0.9621744459592265
64,distance,2,measly,three,meters,adj-quant,num-num,noun-distance,Someone traveled a measly three meters., good,0.9526310120313978
65,distance,2,measly,three,feet,adj-quant,num-num,noun-distance,Someone traveled a measly three feet., good,0.9544632102857108
66,distance,2,measly,three,yards,adj-quant,num-num,noun-distance,Someone traveled a measly three yards., good,0.9701124872220214
67,distance,2,measly,three,blocks,adj-quant,num-num,noun-distance,Someone traveled a measly three blocks., good,0.980546803662533
68,distance,2,measly,three,steps,adj-quant,num-num,noun-distance,Someone traveled a measly three steps., good,0.9711298728373564
69,distance,2,measly,five,meters,adj-quant,num-num,noun-distance,Someone traveled a measly five meters., good,0.9678624082945645
70,distance,2,measly,five,feet,adj-quant,num-num,noun-distance,Someone traveled a measly five feet., good,0.9660125317767377
71,distance,2,measly,five,yards,adj-quant,num-num,noun-distance,Someone traveled a measly five yards., good,0.9782094747706499
72,distance,2,measly,five,blocks,adj-quant,num-num,noun-distance,Someone traveled a measly five blocks., good,0.9810603592716811
73,distance,2,measly,five,steps,adj-quant,num-num,noun-distance,Someone traveled a measly five steps., good,0.9784604078983771
74,distance,2,measly,twenty,meters,adj-quant,num-num,noun-distance,Someone traveled a measly twenty meters., good,0.9709672086124858
75,distance,2,measly,twenty,feet,adj-quant,num-num,noun-distance,Someone traveled a measly twenty feet., good,0.9784683941248181
76,distance,2,measly,twenty,yards,adj-quant,num-num,noun-distance,Someone traveled a measly twenty yards., good,0.9808869103808384
77,distance,2,measly,twenty,blocks,adj-quant,num-num,noun-distance,Someone traveled a measly twenty blocks., good,0.9832164950196086
78,distance,2,measly,twenty,steps,adj-quant,num-num,noun-distance,Someone traveled a measly twenty steps., good,0.9846913580432586
79,distance,2,substantial,three,meters,adj-quant,num-num,noun-distance,Someone traveled a substantial three meters., good,0.9908264699391323
80,distance,2,substantial,three,feet,adj-quant,num-num,noun-distance,Someone traveled a substantial three feet., good,0.9910085014807453
81,distance,2,substantial,three,yards,adj-quant,num-num,noun-distance,Someone traveled a substantial three yards., good,0.9951607207260071
82,distance,2,substantial,three,blocks,adj-quant,num-num,noun-distance,Someone traveled a substantial three blocks., good,0.99509473878191
83,distance,2,substantial,three,steps,adj-quant,num-num,noun-distance,Someone traveled a substantial three steps., good,0.9955979841994705
84,distance,2,substantial,five,meters,adj-quant,num-num,noun-distance,Someone traveled a substantial five meters., good,0.996017663616575
85,distance,2,substantial,five,feet,adj-quant,num-num,noun-distance,Someone traveled a substantial five feet., good,0.994717737075361
86,distance,2,substantial,five,yards,adj-quant,num-num,noun-distance,Someone traveled a substantial five yards., good,0.9967906230956163
87,distance,2,substantial,five,blocks,adj-quant,num-num,noun-distance,Someone traveled a substantial five blocks., good,0.9975453428101037
88,distance,2,substantial,five,steps,adj-quant,num-num,noun-distance,Someone traveled a substantial five steps., good,0.9980379205993403
89,distance,2,substantial,twenty,meters,adj-quant,num-num,noun-distance,Someone traveled a substantial twenty meters., good,0.9962950647717541
90,distance,2,substantial,twenty,feet,adj-quant,num-num,noun-distance,Someone traveled a substantial twenty feet., good,0.9959752258016666
91,distance,2,substantial,twenty,yards,adj-quant,num-num,noun-distance,Someone traveled a substantial twenty yards., good,0.997763795538921
92,distance,2,substantial,twenty,blocks,adj-quant,num-num,noun-distance,Someone traveled a substantial twenty blocks., good,0.9972553041840363
93,distance,2,substantial,twenty,steps,adj-quant,num-num,noun-distance,Someone traveled a substantial twenty steps., good,0.9983857131649281
94,distance,2,record-setting,three,meters,adj-quant,num-num,noun-distance,Someone traveled a record-setting three meters., good,0.9913360868945092
95,distance,2,record-setting,three,feet,adj-quant,num-num,noun-distance,Someone traveled a record-setting three feet., good,0.9800731865038209
96,distance,2,record-setting,three,yards,adj-quant,num-num,noun-distance,Someone traveled a record-setting three yards., good,0.989054061561997
97,distance,2,record-setting,three,blocks,adj-quant,num-num,noun-distance,Someone traveled a record-setting three blocks., good,0.9937880797524605
98,distance,2,record-setting,three,steps,adj-quant,num-num,noun-distance,Someone traveled a record-setting three steps., good,0.9491011027083854
99,distance,2,record-setting,five,meters,adj-quant,num-num,noun-distance,Someone traveled a record-setting five meters., good,0.9937666832285492
100,distance,2,record-setting,five,feet,adj-quant,num-num,noun-distance,Someone traveled a record-setting five feet., good,0.9850947594006478
101,distance,2,record-setting,five,yards,adj-quant,num-num,noun-distance,Someone traveled a record-setting five yards., good,0.9928909720407899
102,distance,2,record-setting,five,blocks,adj-quant,num-num,noun-distance,Someone traveled a record-setting five blocks., good,0.9964963528458594
103,distance,2,record-setting,five,steps,adj-quant,num-num,noun-distance,Someone traveled a record-setting five steps., good,0.9940871192951791
104,distance,2,record-setting,twenty,meters,adj-quant,num-num,noun-distance,Someone traveled a record-setting twenty meters., good,0.9964425298444085
105,distance,2,record-setting,twenty,feet,adj-quant,num-num,noun-distance,Someone traveled a record-setting twenty feet., good,0.9952397560456975
106,distance,2,record-setting,twenty,yards,adj-quant,num-num,noun-distance,Someone traveled a record-setting twenty yards., good,0.997831684799118
107,distance,2,record-setting,twenty,blocks,adj-quant,num-num,noun-distance,Someone traveled a record-setting twenty blocks., good,0.9981261322864783
108,distance,2,record-setting,twenty,steps,adj-quant,num-num,noun-distance,Someone traveled a record-setting twenty steps., good,0.9985647069197748
109,unitlike,0,astonishing,three,pages,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing three pages., good,0.9930132208274162
110,unitlike,0,astonishing,three,acts,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing three acts., good,0.9928572362637696
111,unitlike,0,astonishing,three,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing three paragraphs., good,0.9650218996141309
112,unitlike,0,astonishing,three,awards,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing three awards., good,0.9986494661927131
113,unitlike,0,astonishing,three,meals,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing three meals., good,0.9965790259114842
114,unitlike,0,astonishing,five,pages,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing five pages., good,0.9963888845166535
115,unitlike,0,astonishing,five,acts,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing five acts., good,0.9962045257896712
116,unitlike,0,astonishing,five,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing five paragraphs., good,0.9671191451517918
117,unitlike,0,astonishing,five,awards,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing five awards., good,0.9993380190061637
118,unitlike,0,astonishing,five,meals,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing five meals., good,0.9979033905624773
119,unitlike,0,astonishing,twenty,pages,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing twenty pages., good,0.9972039233243204
120,unitlike,0,astonishing,twenty,acts,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing twenty acts., good,0.9959414881107114
121,unitlike,0,astonishing,twenty,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing twenty paragraphs., good,0.9947107631337535
122,unitlike,0,astonishing,twenty,awards,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing twenty awards., good,0.999003041193979
123,unitlike,0,astonishing,twenty,meals,adj-ambig,num-num,noun-unit_like,Luis took in an astonishing twenty meals., good,0.9945956659419738
124,unitlike,0,incredible,three,pages,adj-ambig,num-num,noun-unit_like,Luis took in an incredible three pages., good,0.9164304418499348
125,unitlike,0,incredible,three,acts,adj-ambig,num-num,noun-unit_like,Luis took in an incredible three acts., good,0.9798302966463494
126,unitlike,0,incredible,three,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in an incredible three paragraphs., good,0.7503684698225409
127,unitlike,0,incredible,three,awards,adj-ambig,num-num,noun-unit_like,Luis took in an incredible three awards., good,0.996899998757343
128,unitlike,0,incredible,three,meals,adj-ambig,num-num,noun-unit_like,Luis took in an incredible three meals., good,0.975748125509369
129,unitlike,0,incredible,five,pages,adj-ambig,num-num,noun-unit_like,Luis took in an incredible five pages., good,0.9562800734274653
130,unitlike,0,incredible,five,acts,adj-ambig,num-num,noun-unit_like,Luis took in an incredible five acts., good,0.9869529908510418
131,unitlike,0,incredible,five,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in an incredible five paragraphs., good,0.789223175067002
132,unitlike,0,incredible,five,awards,adj-ambig,num-num,noun-unit_like,Luis took in an incredible five awards., good,0.9985310320911365
133,unitlike,0,incredible,five,meals,adj-ambig,num-num,noun-unit_like,Luis took in an incredible five meals., good,0.9840705631329434
134,unitlike,0,incredible,twenty,pages,adj-ambig,num-num,noun-unit_like,Luis took in an incredible twenty pages., good,0.98885056978948
135,unitlike,0,incredible,twenty,acts,adj-ambig,num-num,noun-unit_like,Luis took in an incredible twenty acts., good,0.9880307670305017
136,unitlike,0,incredible,twenty,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in an incredible twenty paragraphs., good,0.9396431184791862
137,unitlike,0,incredible,twenty,awards,adj-ambig,num-num,noun-unit_like,Luis took in an incredible twenty awards., good,0.9983353480725622
138,unitlike,0,incredible,twenty,meals,adj-ambig,num-num,noun-unit_like,Luis took in an incredible twenty meals., good,0.9492330625601704
139,unitlike,0,impressive,three,pages,adj-ambig,num-num,noun-unit_like,Luis took in an impressive three pages., good,0.9887135384399478
140,unitlike,0,impressive,three,acts,adj-ambig,num-num,noun-unit_like,Luis took in an impressive three acts., good,0.992510815252812
141,unitlike,0,impressive,three,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in an impressive three paragraphs., good,0.9846518402179759
142,unitlike,0,impressive,three,awards,adj-ambig,num-num,noun-unit_like,Luis took in an impressive three awards., good,0.9982156609291964
143,unitlike,0,impressive,three,meals,adj-ambig,num-num,noun-unit_like,Luis took in an impressive three meals., good,0.9938070335588403
144,unitlike,0,impressive,five,pages,adj-ambig,num-num,noun-unit_like,Luis took in an impressive five pages., good,0.9933525487089766
145,unitlike,0,impressive,five,acts,adj-ambig,num-num,noun-unit_like,Luis took in an impressive five acts., good,0.9961440855037479
146,unitlike,0,impressive,five,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in an impressive five paragraphs., good,0.9734929423159643
147,unitlike,0,impressive,five,awards,adj-ambig,num-num,noun-unit_like,Luis took in an impressive five awards., good,0.9991547336390455
148,unitlike,0,impressive,five,meals,adj-ambig,num-num,noun-unit_like,Luis took in an impressive five meals., good,0.9960657657579055
149,unitlike,0,impressive,twenty,pages,adj-ambig,num-num,noun-unit_like,Luis took in an impressive twenty pages., good,0.9964490255747888
150,unitlike,0,impressive,twenty,acts,adj-ambig,num-num,noun-unit_like,Luis took in an impressive twenty acts., good,0.9950265507586629
151,unitlike,0,impressive,twenty,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in an impressive twenty paragraphs., good,0.993138867390347
152,unitlike,0,impressive,twenty,awards,adj-ambig,num-num,noun-unit_like,Luis took in an impressive twenty awards., good,0.998832928757978
153,unitlike,0,impressive,twenty,meals,adj-ambig,num-num,noun-unit_like,Luis took in an impressive twenty meals., good,0.9853528437001071
154,unitlike,0,disappointing,three,pages,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing three pages., good,0.9168766449530599
155,unitlike,0,disappointing,three,acts,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing three acts., good,0.9094591471088336
156,unitlike,0,disappointing,three,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing three paragraphs., good,0.6839994263701977
157,unitlike,0,disappointing,three,awards,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing three awards., good,0.9934165634031312
158,unitlike,0,disappointing,three,meals,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing three meals., good,0.5814895720676198
159,unitlike,0,disappointing,five,pages,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing five pages., good,0.9348947012681381
160,unitlike,0,disappointing,five,acts,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing five acts., good,0.9397626834570354
161,unitlike,0,disappointing,five,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing five paragraphs., good,0.5060935577737036
162,unitlike,0,disappointing,five,awards,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing five awards., good,0.9940079635877103
163,unitlike,0,disappointing,five,meals,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing five meals., good,0.5074504389887453
164,unitlike,0,disappointing,twenty,pages,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing twenty pages., good,0.9406259547770903
165,unitlike,0,disappointing,twenty,acts,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing twenty acts., good,0.8577676160015705
166,unitlike,0,disappointing,twenty,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing twenty paragraphs., bad,0.4985070051136311
167,unitlike,0,disappointing,twenty,awards,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing twenty awards., good,0.9417256074935086
168,unitlike,0,disappointing,twenty,meals,adj-ambig,num-num,noun-unit_like,Luis took in a disappointing twenty meals., bad,0.35112764426746756
169,unitlike,0,surprising,three,pages,adj-ambig,num-num,noun-unit_like,Luis took in a surprising three pages., good,0.9785597061203671
170,unitlike,0,surprising,three,acts,adj-ambig,num-num,noun-unit_like,Luis took in a surprising three acts., good,0.9812909110154882
171,unitlike,0,surprising,three,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a surprising three paragraphs., good,0.9172401127832409
172,unitlike,0,surprising,three,awards,adj-ambig,num-num,noun-unit_like,Luis took in a surprising three awards., good,0.9968223932129608
173,unitlike,0,surprising,three,meals,adj-ambig,num-num,noun-unit_like,Luis took in a surprising three meals., good,0.9933852732610082
174,unitlike,0,surprising,five,pages,adj-ambig,num-num,noun-unit_like,Luis took in a surprising five pages., good,0.9878078420524586
175,unitlike,0,surprising,five,acts,adj-ambig,num-num,noun-unit_like,Luis took in a surprising five acts., good,0.99307491071085
176,unitlike,0,surprising,five,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a surprising five paragraphs., good,0.8766397994178053
177,unitlike,0,surprising,five,awards,adj-ambig,num-num,noun-unit_like,Luis took in a surprising five awards., good,0.9985449168615251
178,unitlike,0,surprising,five,meals,adj-ambig,num-num,noun-unit_like,Luis took in a surprising five meals., good,0.991584578579323
179,unitlike,0,surprising,twenty,pages,adj-ambig,num-num,noun-unit_like,Luis took in a surprising twenty pages., good,0.9931184205598869
180,unitlike,0,surprising,twenty,acts,adj-ambig,num-num,noun-unit_like,Luis took in a surprising twenty acts., good,0.9834564625526818
181,unitlike,0,surprising,twenty,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a surprising twenty paragraphs., good,0.96524124313515
182,unitlike,0,surprising,twenty,awards,adj-ambig,num-num,noun-unit_like,Luis took in a surprising twenty awards., good,0.998280213131146
183,unitlike,0,surprising,twenty,meals,adj-ambig,num-num,noun-unit_like,Luis took in a surprising twenty meals., good,0.9762308586862247
184,unitlike,0,devastating,three,pages,adj-ambig,num-num,noun-unit_like,Luis took in a devastating three pages., good,0.772253588795755
185,unitlike,0,devastating,three,acts,adj-ambig,num-num,noun-unit_like,Luis took in a devastating three acts., good,0.7660577656570289
186,unitlike,0,devastating,three,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a devastating three paragraphs., good,0.7181589612065161
187,unitlike,0,devastating,three,awards,adj-ambig,num-num,noun-unit_like,Luis took in a devastating three awards., good,0.9966575245498921
188,unitlike,0,devastating,three,meals,adj-ambig,num-num,noun-unit_like,Luis took in a devastating three meals., good,0.8974866081610962
189,unitlike,0,devastating,five,pages,adj-ambig,num-num,noun-unit_like,Luis took in a devastating five pages., good,0.8698106975782011
190,unitlike,0,devastating,five,acts,adj-ambig,num-num,noun-unit_like,Luis took in a devastating five acts., good,0.9047887300444573
191,unitlike,0,devastating,five,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a devastating five paragraphs., good,0.6117341660712794
192,unitlike,0,devastating,five,awards,adj-ambig,num-num,noun-unit_like,Luis took in a devastating five awards., good,0.9982020102237283
193,unitlike,0,devastating,five,meals,adj-ambig,num-num,noun-unit_like,Luis took in a devastating five meals., good,0.9705413377489173
194,unitlike,0,devastating,twenty,pages,adj-ambig,num-num,noun-unit_like,Luis took in a devastating twenty pages., good,0.9453412458047724
195,unitlike,0,devastating,twenty,acts,adj-ambig,num-num,noun-unit_like,Luis took in a devastating twenty acts., good,0.9084257887072194
196,unitlike,0,devastating,twenty,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a devastating twenty paragraphs., good,0.6496379118497405
197,unitlike,0,devastating,twenty,awards,adj-ambig,num-num,noun-unit_like,Luis took in a devastating twenty awards., good,0.9980641430927342
198,unitlike,0,devastating,twenty,meals,adj-ambig,num-num,noun-unit_like,Luis took in a devastating twenty meals., good,0.8123318987742746
199,unitlike,0,pathetic,three,pages,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic three pages., good,0.780240440303895
200,unitlike,0,pathetic,three,acts,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic three acts., good,0.8129354255147353
201,unitlike,0,pathetic,three,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic three paragraphs., good,0.6573312117853162
202,unitlike,0,pathetic,three,awards,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic three awards., good,0.9703931638979477
203,unitlike,0,pathetic,three,meals,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic three meals., good,0.7644423081240799
204,unitlike,0,pathetic,five,pages,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic five pages., good,0.8094456243636087
205,unitlike,0,pathetic,five,acts,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic five acts., good,0.7887839210230795
206,unitlike,0,pathetic,five,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic five paragraphs., bad,0.42059180511304106
207,unitlike,0,pathetic,five,awards,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic five awards., good,0.9686900597841898
208,unitlike,0,pathetic,five,meals,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic five meals., good,0.7662507062772528
209,unitlike,0,pathetic,twenty,pages,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic twenty pages., good,0.738250065230374
210,unitlike,0,pathetic,twenty,acts,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic twenty acts., good,0.6745343351728832
211,unitlike,0,pathetic,twenty,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic twenty paragraphs., good,0.604339513818721
212,unitlike,0,pathetic,twenty,awards,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic twenty awards., good,0.9465496502746563
213,unitlike,0,pathetic,twenty,meals,adj-ambig,num-num,noun-unit_like,Luis took in a pathetic twenty meals., good,0.6400647985623216
214,unitlike,0,remarkable,three,pages,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable three pages., good,0.9767950673537897
215,unitlike,0,remarkable,three,acts,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable three acts., good,0.9857154808463655
216,unitlike,0,remarkable,three,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable three paragraphs., good,0.8477507019172744
217,unitlike,0,remarkable,three,awards,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable three awards., good,0.997777923475406
218,unitlike,0,remarkable,three,meals,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable three meals., good,0.9875212622956749
219,unitlike,0,remarkable,five,pages,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable five pages., good,0.9891353057992689
220,unitlike,0,remarkable,five,acts,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable five acts., good,0.9943412718593533
221,unitlike,0,remarkable,five,paragraphs,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable five paragraphs., good,0.6207662108458082
222,unitlike,0,remarkable,five,awards,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable five awards., good,0.9989906436431647
223,unitlike,0,remarkable,five,meals,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable five meals., good,0.9942597343460721
224,unitlike,0,remarkable,twenty,pages,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable twenty pages., good,0.9953859091752133
225,unitlike,0,remarkable,twenty,acts,adj-ambig,num-num,noun-unit_like,Luis took in a remarkable twenty acts., good,0.9942934088032779
